"ID" "sec" "frame" "pos_y" "pos_x" "y2" "x2" "dY" "absdY" "dv" "absdR" "size" "cat" "gp" "ret" "pck" "expe" "cond" "plong"
"5269" "2" 1616 16160 22.527010695588 202.438081865115 21.3995388259644 200.943102399097 -0.494811957608758 10.4108821296888 -2.41365068105348 29.9202382282775 284.954545454545 "6" "Sti" "4" "2" "9" "CT" 57
"5270" "2" 1617 16170 22.5493430179879 177.974843143013 24.5620248951217 175.760817301516 -1.46452828837836 16.3964085230783 3.82744292608439 16.4629440406014 275.055555555556 "6" "Sti" "4" "2" "9" "CT" 57
"5271" "2" 1618 16180 45.5169983680386 164.527512883751 46.9205027485935 165.552340565978 -2.79879868696557 25.1512390203141 0.282872990856042 9.38359419671093 317.818181818182 "6" "Sti" "4" "2" "9" "CT" 57
"5272" "2" 1619 16190 80.5121515903482 165.739393522115 86.6039144656599 165.956787822227 -6.48392512405365 58.2674099942862 5.63197517520362 28.4038061421566 297.166666666667 "6" "Sti" "4" "2" "9" "CT" 57
"5273" "2" 1620 16200 157.625615087515 170.766008103126 157.459409924203 171.924249232123 -6.80865751796989 61.1855984638832 -6.91992963329707 45.0159532238604 296.136363636364 "6" "Sti" "4" "2" "9" "CT" 57
"5274" "2" 1621 16210 182.260607217935 180.040683550238 184.883377026369 178.265097293851 -1.73964776551626 15.6332418495925 1.19636755339539 12.4278116438572 312.944444444444 "6" "Sti" "4" "2" "9" "CT" 57
"5275" "2" 1622 16220 219.234188852631 166.449827133115 221.622584307457 167.24597226452 -6.10971333344373 54.9045778500229 2.48157929724897 36.6147019561991 263.409090909091 "6" "Sti" "4" "2" "9" "CT" 57
"5569" "2" 1916 19160 278.62612246109 203.846422100885 283.255474840692 201.597192960022 -9.77941321819381 87.8821190229596 1.04220172746832 58.5694469057296 302.272727272727 "7" "Sti" "4" "2" "9" "CT" 57
"5570" "2" 1917 19170 351.83743459252 169.230169678397 349.837944180273 169.792048747605 -3.98584154278164 35.8185295021298 -6.74424395060936 19.3265299653359 268.722222222222 "7" "Sti" "4" "2" "9" "CT" 57
"5571" "2" 1918 19180 361.00492423201 159.751697943036 363.507659004263 159.866662379906 -1.49679512119565 15.6204789954191 2.62211507382273 14.5433841515622 271 "7" "Sti" "4" "2" "9" "CT" 57
"5572" "2" 1919 19190 389.743564981997 167.921356090503 389.29225372915 169.603222030456 -2.64081541458116 23.7315316782116 -2.75270316147208 27.8436042490936 253.333333333333 "7" "Sti" "4" "2" "9" "CT" 57
